1	10000000	10000000

1	10000000	10000000

1	9980343	9980343

1	9932041	9932041

1	9884150	9884150

1	9869425	9869425

1	9834798	9834798

1	9813855	9813855

1	9778969	9778969

1	9730506	9730506

1	9716975	9716975

1	9701068	9701068

1	9660198	9660198

1	9637720	9637720

1	9575092	9575092

1	9545737	9545737

1	9525176	9525176

1	9491999	9491999

1	9470461	9470461

1	9419948	9419948

1	9379029	9379029

1	9348770	9348770

1	9296229	9296229

1	9270363	9270363

1	9243538	9243538

1	9195766	9195766

1	9161099	9161099

1	9143203	9143203

1	9127978	9127978

1	9079597	9079597

1	9072349	9072349

1	9040150	9040150

1	9039023	9039023

1	9037725	9037725

1	9009003	9009003

1	8953760	8953760

1	8947896	8947896

1	8937135	8937135

1	8934784	8934784

1	8906220	8906220

1	8856280	8856280

1	8834864	8834864

1	8834109	8834109

1	8795279	8795279

1	8794204	8794204

1	8783576	8783576

1	8777587	8777587

1	8750085	8750085

1	8700172	8700172

1	8646737	8646737

1	8614683	8614683

1	8554759	8554759

1	8490377	8490377

1	8432361	8432361

1	8419025	8419025

1	8402898	8402898

1	8383248	8383248

1	8354033	8354033

1	8346709	8346709

1	8314942	8314942

1	8304507	8304507

1	8259596	8259596

1	8233570	8233570

1	8210352	8210352

1	8162903	8162903

1	8161814	8161814

1	8157385	8157385

1	8154680	8154680

1	8092344	8092344

1	8060851	8060851

1	8054754	8054754

1	8022757	8022757

1	8007306	8007306

1	7972477	7972477

1	7964935	7964935

1	7943687	7943687

1	7940522	7940522

1	7895165	7895165

1	7870766	7870766

1	7835825	7835825

1	7806801	7806801

1	7795038	7795038

1	7762097	7762097

1	7758986	7758986

1	7754326	7754326

1	7752334	7752334

1	7743314	7743314

1	7720261	7720261

1	7681341	7681341

1	7646947	7646947

1	7612269	7612269

1	7553227	7553227

1	7544054	7544054

1	7482036	7482036

1	7455881	7455881

1	7444900	7444900

1	7388105	7388105

1	7340942	7340942

1	7284116	7284116

1	7260942	7260942

1	7205390	7205390

1	7155742	7155742

1	7150908	7150908

1	7104930	7104930

1	7102921	7102921

1	7067173	7067173

1	7041436	7041436

1	7014433	7014433

1	7001583	7001583

1	6951340	6951340

1	6897641	6897641

1	6853503	6853503

1	6846788	6846788

1	6819021	6819021

1	6802626	6802626

1	6769095	6769095

1	6727621	6727621

1	6725275	6725275

1	6698838	6698838

1	6658448	6658448

1	6633413	6633413

1	6596916	6596916

1	6596408	6596408

1	6591757	6591757

1	6560405	6560405

1	6549395	6549395

1	6495415	6495415

1	6483621	6483621

1	6445734	6445734

1	6403669	6403669

1	6371788	6371788

1	6352925	6352925

1	6317434	6317434

1	6275645	6275645

1	6244434	6244434

1	6183550	6183550

1	6178465	6178465

1	6135195	6135195

1	6088365	6088365

1	6063224	6063224

1	6053644	6053644

1	6051383	6051383

2	3059462	6118924

2	3052703	6105406

2	3025452	6050905

2	3004536	6009072

2	2987863	5975727

2	2973594	5947188

2	2945698	5891397

2	2935115	5870230

3	1985559	5956677

3	1985559	5956677

3	1974743	5924230

4	1505489	6021957

4	1497506	5990024

4	1487123	5948492

4	1482270	5929081

4	1478706	5914826

4	1477553	5910215

4	1477358	5909433

4	1466036	5864145

4	1464089	5856359

4	1455315	5821262

4	1439762	5759051

